id,nome
PLATEN-ZT-ZM-01,ROLETE DE BORRACHA (SEM BUCHA) ZEBRA ZM400/ZT410/ ZT411
G77023M,ROLETE DE BORRACHA (SEM BUCHA) PARA IMPRESSORA ZEBRA S4M / Z4M
94ACC0191,BATERIA DO COLETOR DATALOGIC MEMOR 10 4100MAH
DPR78-2854-02,PLACA PRINCIPAL REDE/SERIAL/USB/PARALELO DATAMAX E-CLASS MARK3 E-4205
15-131938-01,CABO FLEX DO MODULO LASER LORAX SE-1524 MOTROLA MC9190 GUN
942400003-50TECLAS,COLETOR DE DADOS DATALOGIC SKORPIO X3 - 50 TECLAS WIN. EMBEDDED CE 6.0
EF500,COLETOR DE DADOS BLUEBIRD EF500
59421-2,COXIN MOTOR DIANTEIRO DIREITA
1504229542,LEITOR DE C”DIGO DE BARRAS SEM FIO YHD-8200W
MICROONDAS,MICROONDAS
LM-800,LEITOR DE DADOS B-MAX LM-800 USB 5V
82-127909-02,BATERIA 3.7V 4800MAH MOTOROLA DE ALTA CAPACIDADE MC3190/MC3090 GUN
P1058930-189,CUTTER PARA IMPRESSORA ZEBRA ZT410
ROL15-2847-01,ROLETE DE BORRACHA DATAMAX ALLEGRO FLEX M-CLASS 4206 / ALLEGRO PRO
MC7090-PK0DJRFA8WR,COLETOR DE DADOS MOTOROLA MC7090
ALLEGRO4206,ROLETE DATAMAX ALLEGRO FLEX M-4206 E ALLEGRO PRO
DESODORANTE,DESODORANTE AROMATIZADO
SYMBOL-SWITCH-42,PLACA DO GATILHO MOTOROLA MC9090 / MC9190 GUN
SYMBOL-FLEX-CABLE-07,CABO FLEX DO MODULO 1D SE950 SYMBOL MC9090
CYB-14032,PLACA PRINCIPAL 8.3 INCH (VERSAO WINDOWS) SYMBOL ET50
ESPONJA-FERROSOLDA,ESPONJA VEGETAL PARA LIMPEZA PONTA FERRO DE SOLDA AFR-802
SUPORTE-CH50S,MESA DO RIBBON IMPRESSORA SMART CH 50S
P1037974-001,PLACA DE REDE ZEBRA ZT230
CT50L0N-CS13SFH,COLETOR DE DADOS HONEYWELL CT50 ANDROID
21-62606-01,BATERIA INTERNA LEITORES SYMBOL LS3578 / LS3478 / DS3478/ DS3578
MC40-GUN,CAPA DE PROTE«√O EM COURO PARA COLETOR ZEBRA MC40N0 GUN
TAMPAENCAIXE100MM,TAMPA ENCAIXE 100MM #26PZ N0600
17.14,ADVOCACIA
SB1B-SE11A0WW,COLETOR DE DADOS MOTOROLA SB1
FLX-CBL-TAB3,CABO FLEX DO BOTAO POWER E MICROFONE PARA SAMSUNG GALAXY TAB 3 LITE
XT1955,LCD COM TOUCH COM ARO PARA CELULAR MOTOROLA MOTO G7 POWER
SYMBOL-FRONT-COVER-2,CARCACA FRONTAL PARA MOTOROLA ES400
LMK520BMW,LCD COM TOUCH COM ARO PARA CELULAR LG K62 PLUS
SYMBOL-KEYPAD-41,"MEMBRANA DO TECLADO (P1, P2, ENTER) PARA COLETOR SYMBOL WT41N0"
DATALOGIC-LCD-10,LCD COM TOUCH SCREEN DATALOGIC SKORPIO X3
CYB-7510,MODULO LASER ( VERS√O SE-1524ER) HONEYWELL LXE MX7 TECTON
G83-00-21000007,IMPRESSORA DATAMAX W-8306 300 DPI
602020001,ADAPTADOR DE TOMADA PARA FONTE DE ENERGIA BLUEBIRD EF400/EF500 E RT100
DATALOGIC-KEYPAD-14,MEMBRANA DO TECLADO (50-TECLAS) DATALOGIC SKORPIO X3 / X4
BUTTON-SB1-UI,BOTAO DO SCANNER MOTOROLA SB1 (USO INDEVIDO)
DPR51-2720-02,"PLACA PRINCIPAL, 8MB DE FLASH DATAMAX M-4206"
942400002,COLETOR DE DADOS DATALOGIC SKORPIO X3 WIN CE 6.0 2D 50 TECLAS
D900430,POLIA DA ENGRENAGEM DTC FARGO 1200/1250E
SLPT400,IMPRESSORA TERMICA BIXOLON SLP T400
EDA50K-0-C111KNBK,COLETOR DE DADOS HONEYWELL SCANPAL EDA50K
SM-A325F,CABO FLEX DO LCD E SUB PLACA PARA SAMSUNG GALAXY A32 / A22 4G
FITA-TEFLON,FITA TEFLON MARROM PARA SELADORA 40MM X 1M
PSION-PISTOL-06,PISTOLA (ST6400) (FOR SE4600 / SE1524-ER) PSION TEKLOGLIX 7545 XT15
SYMBOL-TOUCH-37,TELA DE TOQUE DIGITALIZADOR PARA MOTOROLA SYMBOL MC40 MC40N0 - DISPLAY ELETRONICO VISUAL QUE PODE DE
CYB-13352,LCD PARA COLETOR (PARA TODOS) SYMBOL MC330
MC3090-RU0PPCG00WR,COLETOR DE DADOS MOTOROLA MC3090 BRICK
7.89476E+12,CORREIA DENTADA GATES 40859X22XS HNBR
SYMBOL-COVER-PART-07,CONJUNTO TRAVA DA BATERIA MOTOROLA MC9090 / MC9190 / MC92N0
CYB-12188,PLACA FONTE IMPRESSORA INTERMEC PB50/PB51
P1080383-735,PLACA PRINCIPAL (REDE/USB) PARA IMPRESSORA ZEBRA ZD230
SV0004,MAO DE OBRA IMPRESSORA GRANDE PORTE
BACKUP-BATTERY06,BATERIA DE BACKUP MOTOROLA MC9090 / MC3090
50116812-001,LENTE DE PROTE«√O (COM AQUECIMENTO) HONEYWELL LXE MX7 TECTON
MANTANTEST,"MANTA ANTI EST¡TICA BANCADA PULSEIRA TERRA (1,20X0,6M) COR AZUL"
PROTHIDRO23,PELICULA PROTETORA HIDROGEL PARA COLETORES
21-75497-311,"PLACA PRINCIPAL SE1224, SE1524ER (LQ038Q7DB03) MOTOROLA MC9060 GUN"
35-21401-003,ROLETE DE BORRACHA ARGOX OS214
SYMBOL-LCD27,LCD (AUO) PARA COLETOR VEICULAR SYMBOL VC5090 (FULL SIZE)
P1083347-020,CUTTER ZEBRA ZT510
DS2208-SR7U2100AZW,LEITOR DE DADOS ZEBRA 2D DS2208
105934-035,ROLETE DE BORRACHA ZEBRA GK420T / GX420T
MK9520-32A38-Z,LEITOR DE DADOS HONEYWELL  MS9520 - PRETO
20-56885-11,MODULO LASER MOTOROLA LS3408 / LS3478
MC3190-GL4H04E0A,COLETOR DE DADOS 1D MOTOROLA MC3190 GUN WIN CE 6.0 PRO
LB-50BK,LEITOR DE DADOS USB C3TECH LB-50BK
AT16293-1,BATERIA DA IMPRESSORA ZEBRA QL420
CS-2BR260BL,BATERIA 3050MAH/11.59WH PARA COLETOR SYMBOL TC21 / TC26 / TC26AK
CYB-13652,CABO FLEX DO MODULO LASE ( N5603ER-BR5 ) INTERMEC CK75
P1040687,BATERIA 6800MAH PARA IMPRESSORA ZEBRA QLN420 / ZQ630
SYMB-FLEX-CABLE-106,CABO FLEX DO LCD PARA MOTOROLA MC9190-G / MC92N0-G
XQ33HH4AL8XDXGXX,COLETOR DE DADOS VESTIVEL UROVO U2
CAPA-EDA52-GUN,CAPA DE PROTECAO PARA EDA52 GUN
SE-1223HP-I101A,MODULO LASER SE-1223HP PSION TEKLOGIX WORKABOULT 7525
SCANNER-M930,LEITOR DE DADOS M930
SMARTZT230-203,CABECA DE IMPRESSAO (SMART) ZEBRA ZT230-203 DPI
CX-PATOLA-PB046,CAIXA PLASTICA PATOLA PB046 PRETA A.19 X L.36 X CP.46 (KIT C/ 10UN)
99-21402-604,IMPRESSORA T…RMICA ARGOX 214 TT
COMUTSTECK2POS,COMUTADOR STECK 2POS FIXAS PT SLMB8D0
CYB-15746,CARCACA TRASEIRA ZEBRA SYMBOL CC600
CYB-15815,CARCACA TRASEIRA (3™ VERSAO) PARA COLETOR ZEBRA TC8000 / TC80N0
CBL-020-300-C00-01,CABO DE COMUNICACAO PARA LEITOR HONEYWELL 1980I
1,PROGRAMA DE GEST√O E LIDERAN«A ORIENTADO PARA RESULTADOS
SYMBOL-COVER-PART-07,CONJUNTO TRAVA DA BATERIA MOTOROLA MC9090 / MC9190 / MC92N0
CS-LS3478BL,BATERIA INTERNA LEITORES SYMBOL LS3578 / LS3478 / DS3478/ DS3578
CYB-14399,CARCACA FRONTAL (VERSAO COM TECLADO) PARA TC20 / TC200J
CYB-7769,PLACA PCB LCD PARA PLACA PRINCIPAL PSION TEKLOGIX WORKABOUT PRO 7535-G
TC945,TECLADO PARA NOTEBOOK
CBA-U01-S07ZAR,CABO DE COMUNICACAO ORIGINAL SYMBOL LS2208/DS2208
BTRY-MC21EAB0E,BATERIA PADRAO 2400MAH - 3.7V SYMBOL MC2100/MC2180
945550034,COLETOR DE DADOS DATALOGIC FALCON X4 52 TECLAS 2D ANDROID
LLDB328,SUB-PLACA DE CARREGAMENTO MOTOROLA MOTO G32
CK3Z20M00E110,COLETOR DE DADOS INTERMEC CK3A1
PHD20-2261-01,CABECA DE IMPRESSAO DATAMAX M-CLASS M-4206 203 DPI
REFEICAO-DESPESAS,REFEICAO/DESPESAS VIAGEM
SV0017,ATENDIMENTO BALCAO - IMPRESSORA
SM-A346M/DSN,CELULAR SAMSUNG GALAXY A34 128GB
LC03,MANGUEIRA SAIDA AR QUENTE
CYB-14288,TAMPA DA BATERIA (8.3 INCH VERSION) FOR SYMBOL ET50
AL-ZT230-TOG-01,KIT TOGGLE BAR SIMILAR PARA IMPRESSORA ZEBRA ZT230
P1024325-101,TAMPA DA ETIQUETA PARA IMPRESSORA ZEBRA QLN320
CYB-15927,CABO CONECTOR  30 PINS PARA 30 PINS SYMBOL VC5090
MC40N0-HLK3R02F,COLETOR DE DADOS SYMBOL MOTOROLA MC40N0
INTERMEC-KEYPAD-09,MEMBRANA DO TECLADO (52 TECLAS) INTERMEC CK3A1
11510-02,LEITOR DE DADOS BEMATECH AQUILA S500
SV0068,INSTALACAO CABECA DE IMPRESSAO
15-70635-01,CABO FLEX DO MODULO LASER 2D SE4400 SYMBOL MC9090 GUN / MC9090 BRICK
HONE-MIDDLE-COVER-05,BORRACHA DE VEDA«√O LATERAL DOLPHIN 6500 / DOLPHIN 6510
P1105147-001,PAINEL TOUCH SCREEN ZEBRA ZT411
PELICULA-A7,PELICULA PARA TABLET GALAXY A7 LITE
FRONT-COVER-07,CARCACA FRONTAL PARA COLETOR INTERMEC LXE MX8
